Date,DJIA
6/26/2002,9120.11
6/27/2002,9269.92
6/28/2002,9243.26
7/1/2002,9109.79
7/2/2002,9007.75
7/3/2002,9054.97
7/5/2002,9379.5
7/8/2002,9274.9
7/9/2002,9096.09
7/10/2002,8813.5
7/11/2002,8801.53
7/12/2002,8684.53
7/15/2002,8639.19
7/16/2002,8473.11
7/17/2002,8542.48
7/18/2002,8409.49
7/19/2002,8019.26
7/22/2002,7784.58
7/23/2002,7702.34
7/24/2002,8191.29
7/25/2002,8186.31
7/26/2002,8264.39
7/29/2002,8711.88
7/30/2002,8680.03
7/31/2002,8736.59
8/1/2002,8506.62
8/2/2002,8313.13
8/5/2002,8043.63
8/6/2002,8274.09
8/7/2002,8456.15
8/8/2002,8712.02
8/9/2002,8745.45
8/12/2002,8688.89
8/13/2002,8482.39
8/14/2002,8743.31
8/15/2002,8818.14
8/16/2002,8778.06
8/19/2002,8990.79
8/20/2002,8872.07
8/21/2002,8957.23
8/22/2002,9053.64
8/23/2002,8872.96
8/26/2002,8919.01
8/27/2002,8824.41
8/28/2002,8694.09
8/29/2002,8670.99
8/30/2002,8663.5
9/3/2002,8308.05
9/4/2002,8425.12
9/5/2002,8283.7
9/6/2002,8427.2
9/9/2002,8519.38
9/10/2002,8602.61
9/11/2002,8581.17
9/12/2002,8379.41
9/13/2002,8312.69
9/16/2002,8380.18
9/17/2002,8207.55
9/18/2002,8172.45
9/19/2002,7942.39
9/20/2002,7986.02
9/23/2002,7872.15
9/24/2002,7683.13
9/25/2002,7481.82
9/26/2002,7997.12
9/27/2002,7701.45
9/30/2002,7591.93
10/1/2002,7938.79
10/2/2002,7755.61
10/3/2002,7717.79
10/4/2002,7528.4
10/7/2002,7422.84
10/8/2002,7501.49
10/9/2002,7286.27
10/10/2002,7533.95
10/11/2002,7850.29
10/14/2002,7877.4
10/15/2002,8255.68
10/16/2002,8036.03
10/17/2002,8275.04
10/18/2002,8322.4
10/21/2002,8538.24
10/22/2002,8450.16
10/23/2002,8494.27
10/24/2002,8317.34
10/25/2002,8443.99
10/28/2002,8368.04
10/29/2002,8368.94
10/30/2002,8427.41
10/31/2002,8397.03
11/1/2002,8517.64
11/4/2002,8571.6
11/5/2002,8678.27
11/6/2002,8771.01
11/7/2002,8586.24
11/8/2002,8537.13
11/11/2002,8358.95
11/12/2002,8386
11/13/2002,8398.49
11/14/2002,8542.13
11/15/2002,8579.09
11/18/2002,8486.57
11/19/2002,8474.78
11/20/2002,8623.01
11/21/2002,8845.15
11/22/2002,8804.84
11/25/2002,8849.4
11/26/2002,8676.42
11/27/2002,8931.68
11/29/2002,8896.09
12/2/2002,8862.57
12/3/2002,8742.93
12/4/2002,8737.85
12/5/2002,8623.28
12/6/2002,8645.77
12/9/2002,8473.41
12/10/2002,8574.26
12/11/2002,8589.14
12/12/2002,8538.4
12/13/2002,8433.71
12/16/2002,8627.4
12/17/2002,8535.89
12/18/2002,8447.35
12/19/2002,8364.8
12/20/2002,8512.01
12/23/2002,8493.29
12/24/2002,8448.11
12/26/2002,8432.61
12/27/2002,8303.78
12/30/2002,8332.85
12/31/2002,8341.63
1/2/2003,8607.52
1/3/2003,8601.69
1/6/2003,8773.57
1/7/2003,8740.59
1/8/2003,8595.31
1/9/2003,8776.18
1/10/2003,8784.89
1/13/2003,8785.98
1/14/2003,8842.62
1/15/2003,8723.18
1/16/2003,8697.87
1/17/2003,8586.74
1/21/2003,8442.9
1/22/2003,8318.73
1/23/2003,8369.47
1/24/2003,8131.01
